2026-03-30 23:15:23,573 - INFO - Pipeline initialized.
2026-03-30 23:18:17,117 - INFO - Loaded fakeAccountData.json: 200 fake accounts.
2026-03-30 23:18:17,224 - INFO - Loaded realAccountData.json: 994 real accounts.
2026-03-30 23:18:17,595 - INFO - Combined dataset: 1194 total accounts.
2026-03-30 23:18:17,598 - INFO - Columns in dataset: ['userFollowerCount', 'userFollowingCount', 'userBiographyLength', 'userMediaCount', 'userHasProfilPic', 'userIsPrivate', 'usernameDigitCount', 'usernameLength', 'isFake', 'label', 'account_id']
2026-03-30 23:29:24,422 - INFO - Found 5000 real images and 4630 fake images.
2026-03-30 23:29:24,817 - INFO - Constructed face_images DataFrame with 9630 records.
2026-03-30 23:32:44,075 - INFO - Assigned profile picture id to accounts.
2026-03-30 23:32:44,194 - INFO - Sample of assigned profile_pic_id:
   account_id label  profile_pic_id
0           1  fake            5913
1           2  fake            5205
2           3  fake            7254
3           4  fake            7007
4           5  fake            6829
2026-03-30 23:35:11,092 - INFO - Table 'accounts': 1194 rows x 4 cols
2026-03-30 23:35:11,117 - INFO - Table 'account_stats': 1194 rows x 4 cols
2026-03-30 23:35:11,122 - INFO - Table 'account_profile': 1194 rows x 6 cols
2026-03-30 23:35:11,125 - INFO - Table 'face_images': 9630 rows x 3 cols
2026-03-30 23:39:03,582 - INFO - CSVs written to 'data/csv/' with total size 241.1 KB
2026-03-31 09:48:59,932 - INFO - Pipeline initialized.
2026-03-31 09:49:00,038 - INFO - Loaded fakeAccountData.json: 200 fake accounts.
2026-03-31 09:49:00,102 - INFO - Loaded realAccountData.json: 994 real accounts.
2026-03-31 09:49:00,115 - INFO - Combined dataset: 1194 total accounts.
2026-03-31 09:49:00,117 - INFO - Columns in dataset: ['userFollowerCount', 'userFollowingCount', 'userBiographyLength', 'userMediaCount', 'userHasProfilPic', 'userIsPrivate', 'usernameDigitCount', 'usernameLength', 'isFake', 'label', 'account_id']
2026-03-31 09:49:00,378 - INFO - Found 5000 real images and 4630 fake images.
2026-03-31 09:49:00,387 - INFO - Constructed face_images DataFrame with 9630 records.
2026-03-31 09:49:00,446 - INFO - Assigned profile picture id to accounts.
2026-03-31 09:49:00,457 - INFO - Sample of assigned profile_pic_id:
   account_id label  profile_pic_id
0           1  fake            5913
1           2  fake            5205
2           3  fake            7254
3           4  fake            7007
4           5  fake            6829
2026-03-31 09:49:00,492 - INFO - Table 'accounts': 1194 rows x 4 cols
2026-03-31 09:49:00,493 - INFO - Table 'account_stats': 1194 rows x 4 cols
2026-03-31 09:49:00,495 - INFO - Table 'account_profile': 1194 rows x 6 cols
2026-03-31 09:49:00,497 - INFO - Table 'face_images': 9630 rows x 3 cols
2026-03-31 09:52:12,419 - INFO - Pipeline initialized.
2026-03-31 09:52:25,919 - INFO - Generating 8436 synthetic accounts to match total images.
2026-03-31 10:28:48,415 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,416 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,417 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,419 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,420 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,422 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,423 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,424 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,425 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,427 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,428 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,429 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,431 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,432 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,433 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,434 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,436 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,438 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,439 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,440 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,441 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,442 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,443 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,444 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,445 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,445 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,447 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,448 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,449 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,451 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,453 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,454 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,456 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,457 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,458 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,459 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,461 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,462 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,463 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,464 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,465 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,467 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,469 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,470 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,471 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,473 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,474 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,476 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,477 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,478 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,479 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,480 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,481 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,482 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,483 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,485 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,487 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,488 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,490 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,491 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,493 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,494 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,495 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,496 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,497 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,497 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,498 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,499 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,500 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,502 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,504 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,505 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,506 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,507 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,509 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,509 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,510 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,511 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,512 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,514 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,515 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,516 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,517 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,519 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,521 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,522 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,523 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,524 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,525 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,526 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,527 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,529 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,530 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,531 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,532 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,533 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,534 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,537 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,538 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,539 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,540 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,542 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,543 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,544 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,545 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,546 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,546 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,547 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,548 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,549 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,551 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,553 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,555 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,557 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,558 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,559 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,560 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,561 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,561 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,562 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,563 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,563 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,564 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,565 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,567 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,569 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,570 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,572 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,574 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,574 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,576 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,576 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,578 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,580 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,581 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,582 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,584 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,585 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,587 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,588 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,589 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,590 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,591 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,592 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,594 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,595 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,596 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,597 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,597 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,598 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,599 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,602 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,604 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,605 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,606 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,608 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,609 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,610 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,611 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,612 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,612 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,613 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,614 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,615 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,616 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,617 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,618 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,619 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,620 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,621 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,622 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,624 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,625 - WARNING - Ran out of real images, reusing randomly
2026-03-31 10:28:48,626 - WARNING - Ran out of real images, reusing randomly
